date,action,price,quantity,value,fee,tax,cash_after,shares_after,avg_price_after,pnl,reason
2025-02-24 07:00:00,BUY,56.87,1756600,99897842.0,99897.842,0.0,2260.1580000072718,1756600,56.87,0.0,BUY_SIGNAL
2025-03-21 07:00:00,SELL,57.06,1756600,100231596.0,100231.596,100231.596,100033392.966,0,,133290.80800000846,SELL_SIGNAL
2025-04-28 07:00:00,BUY,53.83,1856400,99930012.0,99930.012,0.0,3450.9540000110865,1856400,53.83,0.0,BUY_SIGNAL
2025-05-23 07:00:00,SELL,52.77,1856400,97962228.0,97962.228,97962.228,97769754.49800001,0,,-2163708.455999991,SELL_SIGNAL
2025-06-05 07:00:00,BUY,54.49,1792400,97667876.0,97667.876,0.0,4210.6220000088215,1792400,54.49,0.0,BUY_SIGNAL
2025-08-04 07:00:00,SELL,57.17,1792400,102471508.0,102471.508,102471.508,102270775.606,0,,4598688.983999998,SELL_SIGNAL
2025-08-29 07:00:00,BUY,58.6,1743400,102163240.0,102163.24,0.0,5372.366000011563,1743400,58.6,0.0,BUY_SIGNAL
2025-09-26 07:00:00,SELL,58.79,1743400,102494486.0,102494.486,102494.486,102294869.39400001,0,,126257.02799999603,SELL_SIGNAL
2025-10-09 07:00:00,BUY,60.61,1686000,102188460.0,102188.46,0.0,4220.934000015259,1686000,60.61,0.0,BUY_SIGNAL
2025-10-21 07:00:00,SELL,56.1,1686000,94584600.0,94584.6,94584.6,94399651.73400003,0,,-7793029.1999999955,SELL_SIGNAL
2025-11-12 07:00:00,BUY,58.8,1603800,94303440.0,94303.44,0.0,1908.294000029564,1603800,58.8,0.0,BUY_SIGNAL
2025-12-12 07:00:00,SELL,61.7,1603800,98954460.0,98954.46,98954.46,98758459.37400004,0,,4453111.080000009,SELL_SIGNAL
2025-12-17 07:00:00,BUY,64.1,1539100,98656309.99999999,98656.30999999998,0.0,3493.064000055194,1539100,64.1,0.0,BUY_SIGNAL
2025-12-25 07:00:00,SELL,61.6,1539100,94808560.0,94808.56,94808.56,94622435.94400005,0,,-4037367.1199999894,SELL_SIGNAL
