date,action,price,quantity,position_after,fee,realized_pnl,cash_after,reason
2025-01-10,OPEN_SHORT,1316.7,1,-1,3000,0.0,99997000.0,OPEN_SHORT_BY_SELL_SIGNAL
2025-01-24,CLOSE_SHORT,1340.1,1,0,3000,-2339999.9999999865,97654000.00000001,CLOSE_SHORT_BY_BUY_SIGNAL
2025-01-24,OPEN_LONG,1340.1,1,1,3000,0.0,97651000.00000001,OPEN_LONG_BY_BUY_SIGNAL
2025-03-31,CLOSE_LONG,1357.0,1,0,3000,1690000.000000009,99338000.00000003,CLOSE_LONG_BY_SELL_SIGNAL
2025-03-31,OPEN_SHORT,1357.0,1,-1,3000,0.0,99335000.00000003,OPEN_SHORT_BY_SELL_SIGNAL
2025-04-24,CLOSE_SHORT,1306.0,1,0,3000,5100000.0,104432000.00000003,CLOSE_SHORT_BY_BUY_SIGNAL
2025-04-24,OPEN_LONG,1306.0,1,1,3000,0.0,104429000.00000003,OPEN_LONG_BY_BUY_SIGNAL
2025-06-10,CLOSE_LONG,1395.2,1,0,3000,8920000.000000004,113346000.00000003,CLOSE_LONG_BY_SELL_SIGNAL
2025-06-10,OPEN_SHORT,1395.2,1,-1,3000,0.0,113343000.00000003,OPEN_SHORT_BY_SELL_SIGNAL
2025-06-19,CLOSE_SHORT,1428.9,1,0,3000,-3370000.0000000047,109970000.00000003,CLOSE_SHORT_BY_BUY_SIGNAL
2025-06-19,OPEN_LONG,1428.9,1,1,3000,0.0,109967000.00000003,OPEN_LONG_BY_BUY_SIGNAL
2025-09-23,CLOSE_LONG,1813.9,1,0,3000,38500000.0,148464000.00000003,CLOSE_LONG_BY_SELL_SIGNAL
2025-09-23,OPEN_SHORT,1813.9,1,-1,3000,0.0,148461000.00000003,OPEN_SHORT_BY_SELL_SIGNAL
2025-10-02,CLOSE_SHORT,1867.5,1,0,3000,-5359999.999999991,143098000.00000003,CLOSE_SHORT_BY_BUY_SIGNAL
2025-10-02,OPEN_LONG,1867.5,1,1,3000,0.0,143095000.00000003,OPEN_LONG_BY_BUY_SIGNAL
2025-10-21,CLOSE_LONG,1873.7,1,0,3000,620000.0000000045,143712000.00000003,CLOSE_LONG_BY_SELL_SIGNAL
2025-10-21,OPEN_SHORT,1873.7,1,-1,3000,0.0,143709000.00000003,OPEN_SHORT_BY_SELL_SIGNAL
2025-11-18,CLOSE_SHORT,1896.0,1,0,3000,-2229999.9999999953,141476000.00000003,CLOSE_SHORT_BY_BUY_SIGNAL
2025-11-18,OPEN_LONG,1896.0,1,1,3000,0.0,141473000.00000003,OPEN_LONG_BY_BUY_SIGNAL
2025-12-15,CLOSE_LONG,1868.4,1,0,3000,-2759999.9999999907,138710000.00000003,CLOSE_LONG_BY_SELL_SIGNAL
2025-12-15,OPEN_SHORT,1868.4,1,-1,3000,0.0,138707000.00000003,OPEN_SHORT_BY_SELL_SIGNAL
2025-12-23,CLOSE_SHORT,2002.0,1,0,3000,-13359999.99999999,125344000.00000004,CLOSE_SHORT_BY_BUY_SIGNAL
2025-12-23,OPEN_LONG,2002.0,1,1,3000,0.0,125341000.00000004,OPEN_LONG_BY_BUY_SIGNAL
2025-12-31,CLOSE_LONG,2029.0,1,0,3000,2700000.0,128038000.00000004,FORCE_CLOSE_END_OF_BACKTEST
